Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
,,,0.065065,1.050427,,0.073122,0.2473258
,,,0.13129,0.6524425,,0.15854,0.2743246
0.19474,1.584643,,0.19713,0.6496577,,0.21335,0.3509394
0.26015,0.8963944,,0.26336,0.5650766,,0.27028,0.4688432
0.32604,0.7524194,,0.32862,0.6521611,,0.33148,0.6442099
0.39142,0.9415631,,0.39351,0.8624308,,0.39434,0.9016053
0.45687,1.28316,,0.4579,1.261481,,0.4582,1.296728
0.52176,1.680824,,0.52237,1.670532,,0.52247,1.70025
0.58624,2.417625,,0.58637,2.434827,,0.5864,2.459824
0.65098,3.315194,,0.65101,3.33195,,0.65103,3.350759
0.71543,4.419148,,0.71544,4.434323,,0.71545,4.44944
0.78021,5.778971,,0.78022,5.790012,,0.78022,5.801
0.84507,7.50227,,0.84507,7.510664,,0.84507,7.519028
0.90968,9.500004,,0.90968,9.506707,,0.90968,9.513399
0.97427,12.22956,,0.97427,12.2351,,0.97427,12.24064
1.0391,14.47129,,1.0391,14.47584,,1.0391,14.48039
1.1038,17.3072,,1.1038,17.31116,,1.1038,17.31513
1.1685,22.19338,,1.1685,22.19631,,1.1685,22.19923
1.2333,26.00882,,1.2333,26.0113,,1.2333,26.01378
1.298,30.97952,,1.298,30.98166,,1.298,30.9838
1.3628,36.91224,,1.3628,36.91417,,1.3628,36.91609
1.4276,41.87261,,1.4276,41.87427,,1.4276,41.87592
1.4925,49.12549,,1.4925,49.12673,,1.4925,49.12796
1.5572,58.89073,,1.5572,58.89184,,1.5572,58.89294
1.622,69.07624,,1.622,69.07724,,1.622,69.07825
1.6868,82.45368,,1.6868,82.45453,,1.6868,82.45538
1.7516,94.65833,,1.7516,94.65903,,1.7516,94.65973
1.8164,110.9701,,1.8164,110.9708,,1.8164,110.9715
1.8812,120.4654,,1.8812,120.4661,,1.8812,120.4668
1.9461,131.8492,,1.9461,131.8498,,1.9461,131.8504
2.0109,159.6655,,2.0109,159.666,,2.0109,159.6664
2.0757,176.15,,2.0757,176.1504,,2.0757,176.1509
2.1404,191.5639,,2.1404,191.5644,,2.1404,191.5648
2.2053,228.1414,,2.2053,228.1418,,2.2053,228.1422
2.2701,254.1304,,2.2701,254.1307,,2.2701,254.131
2.3349,286.9337,,2.3349,286.934,,2.3349,286.9343
2.3998,346.9532,,2.3998,346.9535,,2.3998,346.9538
2.4646,395.7074,,2.4646,395.7076,,2.4646,395.7078
2.5294,434.5799,,2.5294,434.5802,,2.5294,434.5804
2.5942,695.9923,,2.5942,695.9927,,2.5942,695.993
